,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
0,1993-94,Man United,Blackburn,Newcastle,Arsenal,Leeds,Wimbledon,Sheffield Weds,Liverpool,QPR,Aston Villa,Coventry,Norwich,West Ham,Chelsea,Tottenham,Man City,Everton,Southampton,Ipswich,Sheffield United,Oldham,Swindon
1,1994-95,Blackburn,Man United,Nott'm Forest,Liverpool,Leeds,Newcastle,Tottenham,QPR,Wimbledon,Southampton,Chelsea,Arsenal,Sheffield Weds,West Ham,Everton,Coventry,Man City,Aston Villa,Crystal Palace,Norwich,Leicester,Ipswich
2,1995-96,Man United,Newcastle,Liverpool,Aston Villa,Arsenal,Everton,Blackburn,Tottenham,Nott'm Forest,West Ham,Chelsea,Middlesbrough,Leeds,Wimbledon,Sheffield Weds,Coventry,Southampton,Man City,QPR,Bolton,,
3,1996-97,Man United,Newcastle,Arsenal,Liverpool,Aston Villa,Chelsea,Sheffield Weds,Wimbledon,Leicester,Tottenham,Leeds,Derby,Blackburn,Middlesbrough,West Ham,Everton,Southampton,Coventry,Sunderland,Nott'm Forest,,
4,1997-98,Arsenal,Man United,Liverpool,Chelsea,Leeds,Blackburn,Aston Villa,West Ham,Derby,Leicester,Coventry,Southampton,Newcastle,Tottenham,Wimbledon,Sheffield Weds,Everton,Bolton,Barnsley,Crystal Palace,,
5,1998-99,Man United,Arsenal,Chelsea,Leeds,West Ham,Aston Villa,Liverpool,Derby,Middlesbrough,Leicester,Tottenham,Sheffield Weds,Newcastle,Everton,Coventry,Wimbledon,Southampton,Charlton,Blackburn,Nott'm Forest,,
6,1999-00,Man United,Arsenal,Leeds,Liverpool,Chelsea,Aston Villa,Sunderland,Leicester,West Ham,Tottenham,Newcastle,Middlesbrough,Everton,Coventry,Southampton,Derby,Bradford,Wimbledon,Sheffield Weds,Watford,,
7,2000-01,Man United,Arsenal,Liverpool,Leeds,Ipswich,Chelsea,Sunderland,Aston Villa,Charlton,Southampton,Newcastle,Tottenham,Leicester,Middlesbrough,West Ham,Everton,Derby,Man City,Coventry,Bradford,,
8,2001-02,Arsenal,Liverpool,Man United,Newcastle,Leeds,Chelsea,West Ham,Aston Villa,Tottenham,Blackburn,Southampton,Middlesbrough,Fulham,Charlton,Everton,Bolton,Sunderland,Ipswich,Derby,Leicester,,
9,2002-03,Man United,Arsenal,Newcastle,Chelsea,Liverpool,Blackburn,Everton,Southampton,Man City,Tottenham,Middlesbrough,Charlton,Birmingham,Fulham,Leeds,Aston Villa,Bolton,West Ham,West Brom,Sunderland,,
10,2003-04,Arsenal,Chelsea,Man United,Liverpool,Newcastle,Aston Villa,Birmingham,Bolton,Fulham,Charlton,Middlesbrough,Tottenham,Southampton,Blackburn,Man City,Portsmouth,Everton,Leicester,Wolves,Leeds,,
11,2004-05,Chelsea,Arsenal,Man United,Everton,Liverpool,Bolton,Tottenham,Middlesbrough,Aston Villa,Charlton,Man City,Blackburn,Birmingham,Newcastle,Fulham,Portsmouth,West Brom,Southampton,Crystal Palace,Norwich,,
12,2005-06,Chelsea,Man United,Liverpool,Arsenal,Tottenham,Blackburn,Newcastle,Bolton,West Ham,Wigan,Everton,Fulham,Charlton,Middlesbrough,Man City,Aston Villa,Portsmouth,Birmingham,West Brom,Sunderland,,
13,2006-07,Man United,Chelsea,Liverpool,Arsenal,Tottenham,Everton,Bolton,Reading,Portsmouth,Blackburn,Aston Villa,Middlesbrough,Newcastle,Man City,West Ham,Fulham,Wigan,Sheffield United,Charlton,Watford,,
14,2007-08,Man United,Chelsea,Arsenal,Liverpool,Everton,Aston Villa,Blackburn,Portsmouth,Man City,West Ham,Tottenham,Newcastle,Middlesbrough,Wigan,Sunderland,Bolton,Fulham,Reading,Birmingham,Derby,,
15,2008-09,Man United,Liverpool,Chelsea,Arsenal,Everton,Aston Villa,Fulham,Tottenham,West Ham,Man City,Wigan,Stoke,Bolton,Portsmouth,Blackburn,Sunderland,Hull,Newcastle,Middlesbrough,West Brom,,
16,2009-10,Chelsea,Man United,Arsenal,Tottenham,Man City,Aston Villa,Liverpool,Everton,Birmingham,Blackburn,Stoke,Fulham,Sunderland,Bolton,Wolves,Wigan,West Ham,Burnley,Hull,Portsmouth,,
17,2010-11,Man United,Chelsea,Man City,Arsenal,Tottenham,Liverpool,Everton,Fulham,Aston Villa,Sunderland,West Brom,Newcastle,Stoke,Bolton,Blackburn,Wigan,Wolves,Birmingham,Blackpool,West Ham,,
18,2011-12,Man City,Man United,Arsenal,Tottenham,Newcastle,Chelsea,Everton,Liverpool,Fulham,West Brom,Swansea,Norwich,Sunderland,Stoke,Wigan,Aston Villa,QPR,Bolton,Blackburn,Wolves,,
19,2012-13,Man United,Man City,Chelsea,Arsenal,Tottenham,Everton,Liverpool,West Brom,Swansea,West Ham,Norwich,Fulham,Stoke,Southampton,Aston Villa,Newcastle,Sunderland,Wigan,Reading,QPR,,
20,2013-14,Man City,Liverpool,Chelsea,Arsenal,Everton,Tottenham,Man United,Southampton,Stoke,Newcastle,Crystal Palace,Swansea,West Ham,Sunderland,Aston Villa,Hull,West Brom,Norwich,Fulham,Cardiff,,
21,2014-15,Chelsea,Man City,Arsenal,Man United,Tottenham,Liverpool,Southampton,Swansea,Stoke,Crystal Palace,Everton,West Ham,West Brom,Leicester,Newcastle,Sunderland,Aston Villa,Hull,Burnley,QPR,,
22,2015-16,Leicester,Arsenal,Tottenham,Man City,Man United,Southampton,West Ham,Liverpool,Stoke,Chelsea,Everton,Swansea,Watford,West Brom,Crystal Palace,Bournemouth,Sunderland,Newcastle,Norwich,Aston Villa,,
23,2016-17,Chelsea,Tottenham,Man City,Liverpool,Arsenal,Man United,Everton,Southampton,Bournemouth,West Brom,West Ham,Leicester,Stoke,Crystal Palace,Swansea,Burnley,Watford,Hull,Middlesbrough,Sunderland,,
24,2017-18,Man City,Man United,Tottenham,Liverpool,Chelsea,Arsenal,Burnley,Everton,Leicester,Newcastle,Crystal Palace,Bournemouth,West Ham,Watford,Brighton,Huddersfield,Southampton,Swansea,Stoke,West Brom,,
25,2018-19,Man City,Liverpool,Chelsea,Tottenham,Arsenal,Man United,Wolves,Everton,Leicester,West Ham,Watford,Crystal Palace,Newcastle,Bournemouth,Burnley,Southampton,Brighton,Cardiff,Fulham,Huddersfield,,
26,2019-20,Liverpool,Man City,Man United,Chelsea,Leicester,Tottenham,Wolves,Arsenal,Sheffield United,Burnley,Southampton,Everton,Newcastle,Crystal Palace,Brighton,West Ham,Aston Villa,Bournemouth,Watford,Norwich,,
27,2020-21,Man City,Man United,Liverpool,Chelsea,Leicester,West Ham,Tottenham,Arsenal,Leeds,Everton,Aston Villa,Newcastle,Wolves,Crystal Palace,Southampton,Brighton,Burnley,Fulham,West Brom,Sheffield United,,
28,2021-22,Man City,Liverpool,Chelsea,Tottenham,Arsenal,Man United,West Ham,Leicester,Brighton,Wolves,Newcastle,Crystal Palace,Brentford,Aston Villa,Southampton,Everton,Leeds,Burnley,Watford,Norwich,,
